category	file	bytes	pages	sha256	text_file
04_distributed_linear_computation	2021_kar_pueschel_moura_finite_time_linear_transforms.pdf	130755	5	74fda44c7d94d16667122879c197e958606c98048b6aeed805d596717892863f	04_distributed_linear_computation\2021_kar_pueschel_moura_finite_time_linear_transforms.txt
05_localized_control_observability	2014_park_martins_lti_distributed_observers_iff.pdf	266380	22	3409869ca17aa94eb2c665177caf78bd8b2217b62699037c68be310c436e8459	05_localized_control_observability\2014_park_martins_lti_distributed_observers_iff.txt
05_localized_control_observability	2015_wang_you_matni_localized_distributed_kalman_filters.pdf	286644	6	e49a4e0fd5ef0883cd36ec46f3fd459d0671bf3e7b18fd341197a35a2c4f944c	05_localized_control_observability\2015_wang_you_matni_localized_distributed_kalman_filters.txt
05_localized_control_observability	2017_mitra_sundaram_distributed_functional_observers.pdf	215667	13	134205cf47f9164c665d9931b71f9f1fcc78c04f2b5480953498c9052c7c32f8	05_localized_control_observability\2017_mitra_sundaram_distributed_functional_observers.txt
05_localized_control_observability	2017_mitra_sundaram_distributed_observers_lti.pdf	372050	30	3ecc17c77ac9ea36a649faffb220919bc7440e899e3668a11a18c7dc3e354961	05_localized_control_observability\2017_mitra_sundaram_distributed_observers_lti.txt
05_localized_control_observability	2019_anderson_et_al_system_level_synthesis.pdf	1598625	65	6c28fe539325830dfdf4325c34a48a3400c9ec078307770063dcb022d6f0c614	05_localized_control_observability\2019_anderson_et_al_system_level_synthesis.txt
05_localized_control_observability	2022_functional_observability_target_state_estimation.pdf	2406829	27	d0f13ff8828e26174dc39e914d9a779418fc3b939c7a8f38625d97443db0a586	05_localized_control_observability\2022_functional_observability_target_state_estimation.txt
05_localized_control_observability	2022_kjellqvist_yu_infinite_horizon_sls.pdf	1122791	8	53bcd681b1de285ce4430de851d87ca0caf22cbbff9a49fa4b2a4c1cdee17c09	05_localized_control_observability\2022_kjellqvist_yu_infinite_horizon_sls.txt
05_localized_control_observability	2025_arbelaiz_et_al_how_far_to_share_measurements.pdf	4669410	14	ca60c5e22a0220a213a31a86e9783b64a56d8d97d56c7375e6194931f4a6ff97	05_localized_control_observability\2025_arbelaiz_et_al_how_far_to_share_measurements.txt
05_localized_control_observability	2026_fattore_et_al_discrete_lti_jordan_observer.pdf	786616	8	9eb962e34b56e7052013201853b11f2660b9bcbca2aa0efedcbe38f723e09f52	05_localized_control_observability\2026_fattore_et_al_discrete_lti_jordan_observer.txt
05_localized_control_observability	2026_jaiswal_berger_tomar_partial_state_estimation.pdf	226630	11	8af41605ac948269393f0a3344cf99eeb944c28a687bcc0a1a929eef1d9bf08e	05_localized_control_observability\2026_jaiswal_berger_tomar_partial_state_estimation.txt
05_localized_control_observability	2026_zhao_et_al_discrete_lti_design_trilemma.pdf	340859	7	caf9c599deb441350cba47ef7d2b70e0c1a88d4bb55d5bf4c5f0b2422aa68dfc	05_localized_control_observability\2026_zhao_et_al_discrete_lti_design_trilemma.txt
06_resource_tradeoffs	2000_heinzelman_chandrakasan_balakrishnan_leach.pdf	369572	10	f3a7b14bef121400729c8abcc22e3d39d330d4c653f405c0d8a5967767b1cb00	06_resource_tradeoffs\2000_heinzelman_chandrakasan_balakrishnan_leach.txt
